violation_id,inspection_id,violation_category,violation_date,violation_date_closed,violation_type
204851,261019,Garbage and Refuse,1/3/12 0:00,2/2/12 0:00,Refuse Accumulation
204852,261019,Unsanitary Conditions,1/3/12 0:00,2/2/12 0:00,"Unsanitary conditions, not specified"
204853,261023,Garbage and Refuse,1/3/12 0:00,1/17/12 0:00,Refuse Accumulation
204854,261023,Garbage and Refuse,1/3/12 0:00,1/17/12 0:00,Refuse Accumulation
204858,261029,Garbage and Refuse,1/3/12 0:00,3/12/12 0:00,Refuse Accumulation
204859,261029,Animals and Pests,1/3/12 0:00,3/12/12 0:00,"Animals and Pests, not specified"
207746,264687,Animals and Pests,2/8/12 0:00,4/2/12 0:00,"Animals and Pests, not specified"
205869,262387,Garbage and Refuse,1/13/12 0:00,1/17/12 0:00,Refuse Accumulation
207417,264347,Garbage and Refuse,1/11/12 0:00,1/13/12 0:00,Refuse Accumulation
205555,261851,Building Conditions,1/12/12 0:00,1/27/12 0:00,Inadequate Pest Exclusion
205556,261852,Garbage and Refuse,1/10/12 0:00,1/17/12 0:00,Refuse Accumulation
205319,261562,Animals and Pests,1/9/12 0:00,2/6/12 0:00,Animal Feces
205320,261563,Garbage and Refuse,1/9/12 0:00,,Refuse Accumulation
205333,261572,Unsanitary Conditions,1/10/12 0:00,2/13/12 0:00,"Unsanitary conditions, not specified"
205457,261676,Garbage and Refuse,1/10/12 0:00,1/11/12 0:00,Refuse Accumulation
205505,261769,Unsanitary Conditions,1/12/12 0:00,7/11/12 0:00,"Unsanitary conditions, not specified"
205506,261769,Animals and Pests,1/12/12 0:00,7/11/12 0:00,"Rodents, not specified"
207159,263995,Vegetation,2/1/12 0:00,3/16/12 0:00,Overgrown Vegetation
207160,263995,Garbage and Refuse,2/1/12 0:00,3/16/12 0:00,Refuse Accumulation
207276,264177,Unsanitary Conditions,2/6/12 0:00,3/21/12 0:00,"Unsanitary conditions, not specified"
207337,264235,Animals and Pests,2/2/12 0:00,2/2/12 0:00,"Insects, not specified"
206863,263567,Unsanitary Conditions,1/27/12 0:00,,"Unsanitary conditions, not specified"
206883,263605,Garbage and Refuse,1/31/12 0:00,2/21/12 0:00,Refuse Accumulation
208485,265585,Animals and Pests,2/21/12 0:00,3/6/12 0:00,Animal Feces
208486,265587,Animals and Pests,2/22/12 0:00,3/16/12 0:00,Animal Feces
208487,265587,Animals and Pests,2/22/12 0:00,3/16/12 0:00,"Animals and Pests, not specified"
208488,265609,Building Conditions,2/17/12 0:00,3/7/12 0:00,Inadequate Pest Exclusion
208588,265691,Animals and Pests,2/22/12 0:00,4/6/12 0:00,"Rodents, not specified"
208589,265692,Animals and Pests,2/22/12 0:00,,"Animals and Pests, not specified"
208590,265694,Animals and Pests,2/22/12 0:00,3/26/12 0:00,"Animals and Pests, not specified"
208600,265709,Garbage and Refuse,2/22/12 0:00,,Refuse Accumulation
207418,264347,Unsanitary Conditions,1/11/12 0:00,1/13/12 0:00,"Unsanitary conditions, not specified"
207419,264347,Animals and Pests,1/11/12 0:00,1/13/12 0:00,Animal Feces
207490,264406,Chemical Hazards,2/8/12 0:00,4/9/12 0:00,Lead Hazard
207491,264408,Chemical Hazards,2/8/12 0:00,6/1/12 0:00,Lead Hazard
207492,264408,Vegetation,2/8/12 0:00,4/13/12 0:00,Overgrown Vegetation
207610,264491,Chemical Hazards,2/8/12 0:00,2/20/12 0:00,Lead Hazard
208709,265817,Unsanitary Conditions,2/23/12 0:00,2/27/12 0:00,"Unsanitary conditions, not specified"
208375,265430,Garbage and Refuse,2/17/12 0:00,4/12/12 0:00,Refuse Accumulation
208376,265430,Garbage and Refuse,2/17/12 0:00,4/12/12 0:00,Refuse Accumulation
208377,265430,Unsanitary Conditions,2/17/12 0:00,4/12/12 0:00,"Unsanitary conditions, not specified"
